states,year,quarter,brand,user_counts,percentage
Andaman & Nicobar Islands,2021,1,Tecno,796,0.013782
Andaman & Nicobar Islands,2021,1,Others,4532,0.078465
Andaman & Nicobar Islands,2021,2,Vivo,15056,0.242467
Andaman & Nicobar Islands,2021,2,Xiaomi,14788,0.238151
Andaman & Nicobar Islands,2021,2,Samsung,11476,0.184814
Andaman & Nicobar Islands,2021,2,Oppo,5456,0.087865
Andaman & Nicobar Islands,2021,2,Realme,4034,0.064965
Andaman & Nicobar Islands,2021,2,OnePlus,1981,0.031903
Andaman & Nicobar Islands,2021,2,Huawei,1559,0.025107
Andaman & Nicobar Islands,2021,2,Apple,1153,0.018568
Andaman & Nicobar Islands,2021,2,Motorola,1054,0.016974
Andaman & Nicobar Islands,2021,2,Tecno,974,0.015686
Andaman & Nicobar Islands,2021,2,Others,4564,0.0735
Andaman & Nicobar Islands,2021,3,Vivo,16411,0.245006
Andaman & Nicobar Islands,2021,3,Xiaomi,15938,0.237945
Andaman & Nicobar Islands,2021,3,Samsung,12028,0.179571
Andaman & Nicobar Islands,2021,3,Oppo,5853,0.087382
Andaman & Nicobar Islands,2021,3,Realme,4808,0.07178
Andaman & Nicobar Islands,2021,3,OnePlus,2306,0.034427
Andaman & Nicobar Islands,2021,3,Huawei,1567,0.023394
Andaman & Nicobar Islands,2021,3,Apple,1283,0.019154
Andaman & Nicobar Islands,2021,3,Tecno,1178,0.017587
Andaman & Nicobar Islands,2021,3,Motorola,1017,0.015183
Andaman & Nicobar Islands,2021,3,Others,4593,0.068571
Andaman & Nicobar Islands,2021,4,Vivo,17597,0.245152
Andaman & Nicobar Islands,2021,4,Xiaomi,16968,0.236389
Andaman & Nicobar Islands,2021,4,Samsung,12574,0.175174
Andaman & Nicobar Islands,2021,4,Oppo,6127,0.085358
Andaman & Nicobar Islands,2021,4,Realme,5830,0.08122
Andaman & Nicobar Islands,2021,4,OnePlus,2691,0.03749
Andaman & Nicobar Islands,2021,4,Apple,1490,0.020758
Andaman & Nicobar Islands,2021,4,Huawei,1459,0.020326
Andaman & Nicobar Islands,2021,4,Tecno,1417,0.019741
Andaman & Nicobar Islands,2021,4,Motorola,1055,0.014698
Andaman & Nicobar Islands,2021,4,Others,4572,0.063695
Andaman & Nicobar Islands,2022,1,Vivo,18688,0.244966
Andaman & Nicobar Islands,2022,1,Xiaomi,17957,0.235384
Andaman & Nicobar Islands,2022,1,Samsung,12955,0.169817
Andaman & Nicobar Islands,2022,1,Realme,6769,0.08873
Andaman & Nicobar Islands,2022,1,Oppo,6461,0.084692
Andaman & Nicobar Islands,2022,1,OnePlus,3005,0.03939
Andaman & Nicobar Islands,2022,1,Tecno,1770,0.023202
Andaman & Nicobar Islands,2022,1,Apple,1634,0.021419
Andaman & Nicobar Islands,2022,1,Huawei,1441,0.018889
Andaman & Nicobar Islands,2022,1,Motorola,1050,0.013764
Andaman & Nicobar Islands,2022,1,Others,4558,0.059747
Andhra Pradesh,2018,1,Xiaomi,836581,0.25074
Andhra Pradesh,2018,1,Samsung,683687,0.204915
Andhra Pradesh,2018,1,Vivo,425959,0.127668
Andhra Pradesh,2018,1,Oppo,304487,0.091261
Andhra Pradesh,2018,1,Realme,236646,0.070927
Andhra Pradesh,2018,1,Motorola,129739,0.038885
Andhra Pradesh,2018,1,OnePlus,129421,0.03879
Andhra Pradesh,2018,1,Apple,123274,0.036948
Andhra Pradesh,2018,1,Lenovo,84138,0.025218
Andhra Pradesh,2018,1,Huawei,76654,0.022975
Andhra Pradesh,2018,1,Others,305864,0.091673
Andhra Pradesh,2018,2,Xiaomi,1113800,0.25299
Andhra Pradesh,2018,2,Samsung,903290,0.205175
Andhra Pradesh,2018,2,Vivo,586965,0.133324
Andhra Pradesh,2018,2,Oppo,410549,0.093253
Andhra Pradesh,2018,2,Realme,305964,0.069497
Andhra Pradesh,2018,2,Motorola,169847,0.038579
Andhra Pradesh,2018,2,OnePlus,155418,0.035302
Andhra Pradesh,2018,2,Apple,151847,0.034491
Andhra Pradesh,2018,2,Lenovo,107441,0.024404
Andhra Pradesh,2018,2,Huawei,102929,0.023379
Andhra Pradesh,2018,2,Others,394490,0.089605
Andhra Pradesh,2018,3,Xiaomi,1385112,0.255197
