states,year,quarter,district,trans_counts,amount
Assam,2019,4,Sivasagar District,112099,192010348.16
Assam,2019,4,Dibrugarh District,255885,470389915.8
Assam,2019,4,South Salmara Mancachar District,39935,91996007.23
Assam,2019,4,Nagaon District,287586,546184547.45
Assam,2019,4,Dhubri District,134357,284612415.48
Assam,2019,4,Golaghat District,138710,238009780.18
Assam,2019,4,Udalguri District,77332,154704605.56
Assam,2019,4,Majuli District,20488,26928995.95
Assam,2019,4,Sonitpur District,298139,613461613.27
Assam,2019,4,Hojai District,95246,175607661.95
Assam,2019,4,Marigaon District,132919,263927905.91
Assam,2019,4,Chirang District,51791,101022374.81
Assam,2019,4,Cachar District,273506,482197783.16
Assam,2019,4,Nalbari District,95723,156653435.64
Assam,2019,4,West Karbi Anglong District,17914,25460539.28
Assam,2019,4,Dhemaji District,103033,197496702.44
Assam,2019,4,Karimganj District,108697,194919405.23
Assam,2019,4,Bongaigaon District,119397,235963764.72
Assam,2019,4,Dima Hasao District,45414,93463244.84
Assam,2019,4,Baksa District,106632,221221950.66
Assam,2019,4,Charaideo District,70323,125582119.33
Assam,2019,4,Darrang District,98623,201143725.75
Assam,2019,4,Kamrup Metropolitan District,2510384,7206165641.82
Assam,2019,4,Hailakandi District,67877,117286060.92
Assam,2019,4,Barpeta District,295624,613479659.53
Assam,2019,4,Goalpara District,139662,282003507.81
Assam,2019,4,Biswanath District,88764,151710760.82
Assam,2019,4,Jorhat District,185402,307700398.02
Assam,2020,1,Tinsukia District,286640,541758826.98
Assam,2020,1,Lakhimpur District,170709,275431087.2
Assam,2020,1,Kamrup District,322830,605538834.86
Assam,2020,1,Kokrajhar District,114668,248408355.22
Assam,2020,1,Karbi Anglong District,113535,217131796.11
Assam,2020,1,Sivasagar District,145386,255427708.51
Assam,2020,1,Dibrugarh District,317878,585327059.68
Assam,2020,1,South Salmara Mancachar District,53050,131605619.19
Assam,2020,1,Nagaon District,360749,736229612.9
Assam,2020,1,Dhubri District,171651,396380458.89
Assam,2020,1,Golaghat District,179380,301335497.79
Assam,2020,1,Udalguri District,102667,191387716.45
Assam,2020,1,Majuli District,25164,35131725.05
Assam,2020,1,Sonitpur District,383179,755509094.61
Assam,2020,1,Hojai District,116561,234366183.73
Assam,2020,1,Marigaon District,178906,365789442.37
Assam,2020,1,Chirang District,69572,129457976.35
Assam,2020,1,Cachar District,375774,659702346.19
Assam,2020,1,Nalbari District,123597,204236898.98
Assam,2020,1,West Karbi Anglong District,24370,34424503.59
Assam,2020,1,Dhemaji District,132751,261048437.22
Assam,2020,1,Karimganj District,149784,300337283.14
Assam,2020,1,Bongaigaon District,154338,308181647.04
Assam,2020,1,Dima Hasao District,57312,113253608.63
Assam,2020,1,Baksa District,139164,286488075.09
Assam,2020,1,Charaideo District,88911,166505285.42
Assam,2020,1,Darrang District,130156,282448987.91
Assam,2020,1,Kamrup Metropolitan District,3338601,10080547554.27
Assam,2020,1,Hailakandi District,94255,178759552.24
Assam,2020,1,Barpeta District,367963,833078665.81
Assam,2020,1,Goalpara District,178776,399940069.49
Assam,2020,1,Biswanath District,108475,182185726.1
Assam,2020,1,Jorhat District,232108,371072710.74
Assam,2020,2,Tinsukia District,420620,618021383.19
Assam,2020,2,Lakhimpur District,272571,350989858.66
Assam,2020,2,Kamrup District,461735,696378364.13
Assam,2020,2,Kokrajhar District,172597,308298837.32
Assam,2020,2,Karbi Anglong District,183647,292585692.42
Assam,2020,2,Sivasagar District,220014,286719380.24
Assam,2020,2,Dibrugarh District,447580,678491572.83
Assam,2020,2,South Salmara Mancachar District,83003,196672059.63
Assam,2020,2,Nagaon District,521404,889592664.41
Assam,2020,2,Dhubri District,279128,458359612.45
Assam,2020,2,Golaghat District,290221,381486790.01
Assam,2020,2,Udalguri District,166432,268857082.81
Assam,2020,2,Majuli District,40396,51674787.73
Assam,2020,2,Sonitpur District,510820,899403354.27
Assam,2020,2,Hojai District,172987,285298432.07
Assam,2020,2,Marigaon District,240281,429689787.59
Assam,2020,2,Chirang District,112936,166769974.12
Assam,2020,2,Cachar District,448258,671325302.75
Assam,2020,2,Nalbari District,198498,254116361.13
Assam,2020,2,West Karbi Anglong District,42806,49256668.87
Assam,2020,2,Dhemaji District,205941,328331122.27
Assam,2020,2,Karimganj District,219675,348307355.55
Assam,2020,2,Bongaigaon District,215359,339332330.98
Assam,2020,2,Dima Hasao District,90255,143371839.62
Assam,2020,2,Baksa District,220877,363494158.45
Assam,2020,2,Charaideo District,132136,187405994.23
Assam,2020,2,Darrang District,191116,334935860.6
Assam,2020,2,Kamrup Metropolitan District,2543890,7190215278.04
Assam,2020,2,Hailakandi District,145539,214091717.66
Assam,2020,2,Barpeta District,519590,967512954.94
Assam,2020,2,Goalpara District,261762,485118707.46
Assam,2020,2,Biswanath District,166278,223505041.45
Assam,2020,2,Jorhat District,306847,406689798.02
Assam,2020,3,Tinsukia District,442335,839411510.85
Assam,2020,3,Lakhimpur District,258450,431917438.4
Assam,2020,3,Kamrup District,445726,878646586.93
Assam,2020,3,Kokrajhar District,169456,354873433.74
Assam,2020,3,Karbi Anglong District,186352,377558923.84
Assam,2020,3,Sivasagar District,213330,375381648.79
Assam,2020,3,Dibrugarh District,526945,1106487215.77
Assam,2020,3,South Salmara Mancachar District,76074,203318061.95
Assam,2020,3,Nagaon District,535675,1153926434.06
Assam,2020,3,Dhubri District,265528,574593610.21
Assam,2020,3,Golaghat District,278714,484885427.86
Assam,2020,3,Udalguri District,154549,312073789.48
Assam,2020,3,Majuli District,39125,56123804.82
Assam,2020,3,Sonitpur District,540972,1164586118.84
Assam,2020,3,Hojai District,175557,355628836.03
Assam,2020,3,Marigaon District,230540,512119251.26
Assam,2020,3,Chirang District,102868,192241344.0
Assam,2020,3,Cachar District,487493,920279966.24
Assam,2020,3,Nalbari District,175078,305820367.28
Assam,2020,3,West Karbi Anglong District,40408,63195580.48
Assam,2020,3,Dhemaji District,206214,411442432.55
Assam,2020,3,Karimganj District,249302,504923538.15
Assam,2020,3,Bongaigaon District,227984,476147034.03
Assam,2020,3,Dima Hasao District,93676,180472116.29
Assam,2020,3,Baksa District,208297,442621506.64
Assam,2020,3,Charaideo District,130863,244390041.98
Assam,2020,3,Darrang District,188334,455692195.89
Assam,2020,3,Kamrup Metropolitan District,4268591,13346088870.11
Assam,2020,3,Hailakandi District,161126,294342674.93
Assam,2020,3,Barpeta District,553783,1306355860.16
Assam,2020,3,Goalpara District,277508,630486618.28
Assam,2020,3,Biswanath District,171570,332570734.95
Assam,2020,3,Jorhat District,315288,542788284.76
Assam,2020,4,Tinsukia District,543941,1209737013.97
Assam,2020,4,Lakhimpur District,304251,620709324.08
Assam,2020,4,Kamrup District,557203,1271039293.25
Assam,2020,4,Kokrajhar District,209653,522575460.28
Assam,2020,4,Karbi Anglong District,229991,548523247.57
Assam,2020,4,Sivasagar District,259736,561002521.46
Assam,2020,4,Dibrugarh District,631601,1479167066.81
Assam,2020,4,South Salmara Mancachar District,111015,338306352.61
Assam,2020,4,Nagaon District,667880,1665021995.82
Assam,2020,4,Dhubri District,337623,874322425.39
Assam,2020,4,Golaghat District,337771,687756877.79
Assam,2020,4,Udalguri District,181878,415302655.28
Assam,2020,4,Majuli District,43480,69435583.79
Assam,2020,4,Sonitpur District,676306,1560923095.77
Assam,2020,4,Hojai District,224628,528926408.78
Assam,2020,4,Marigaon District,277304,736327079.85
Assam,2020,4,Chirang District,121011,281687589.58
Assam,2020,4,Cachar District,623731,1434767202.35
Assam,2020,4,Nalbari District,210966,464782209.23
Assam,2020,4,West Karbi Anglong District,44259,80617646.24
Assam,2020,4,Dhemaji District,250452,567469583.06
Assam,2020,4,Karimganj District,309172,754661918.89
Assam,2020,4,Bongaigaon District,301859,724047412.77
Assam,2020,4,Dima Hasao District,110429,262165738.18
Assam,2020,4,Baksa District,253333,644108232.33
