states,year,quarter,trans_type,trans_counts,amount
Andhra Pradesh,2019,4,Merchant payments,25122370,13476303367.5
Andhra Pradesh,2019,4,Recharge & bill payments,24469888,8335168605.69
Andhra Pradesh,2019,4,Financial Services,105662,26796571.75
Andhra Pradesh,2019,4,Others,338672,216496893.16
Andhra Pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.05
Andhra Pradesh,2020,1,Merchant payments,31408022,18603161784.5
Andhra Pradesh,2020,1,Recharge & bill payments,30449644,10813530777.97
Andhra Pradesh,2020,1,Financial Services,75238,43739133.17
Andhra Pradesh,2020,1,Others,292310,188228538.37
Andhra Pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.79
Andhra Pradesh,2020,2,Recharge & bill payments,41013987,16991006436.57
Andhra Pradesh,2020,2,Merchant payments,29976765,22625596525.44
Andhra Pradesh,2020,2,Financial Services,140941,145274999.16
Andhra Pradesh,2020,2,Others,176241,90087654.6
Andhra Pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32
Andhra Pradesh,2020,3,Merchant payments,54055557,40739580213.86
Andhra Pradesh,2020,3,Recharge & bill payments,43500067,19475104674.83
Andhra Pradesh,2020,3,Financial Services,243088,256074924.72
Andhra Pradesh,2020,3,Others,312329,151582519.18
Andhra Pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.77
Andhra Pradesh,2020,4,Merchant payments,86581460,66654048149.95
Andhra Pradesh,2020,4,Recharge & bill payments,46810304,20936337211.56
Andhra Pradesh,2020,4,Financial Services,265470,305168772.46
Andhra Pradesh,2020,4,Others,457527,306853355.59
Andhra Pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0
Andhra Pradesh,2021,1,Merchant payments,97920281,70813192713.43
Andhra Pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14
Andhra Pradesh,2021,1,Financial Services,225355,270313028.48
Andhra Pradesh,2021,1,Others,347907,272546457.55
Andhra Pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.44
Andhra Pradesh,2021,2,Merchant payments,112875274,88512429436.91
Andhra Pradesh,2021,2,Recharge & bill payments,49626902,24646800345.11
Andhra Pradesh,2021,2,Financial Services,243237,265483044.4
Andhra Pradesh,2021,2,Others,406842,308302224.39
Andhra Pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.31
Andhra Pradesh,2021,3,Merchant payments,158290953,118164377968.17
Andhra Pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24
Andhra Pradesh,2021,3,Financial Services,211171,297239697.83
Andhra Pradesh,2021,3,Others,547759,403948275.57
Andhra Pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.13
Andhra Pradesh,2021,4,Merchant payments,207538904,152883933596.54
Andhra Pradesh,2021,4,Recharge & bill payments,51762842,31232784713.99
Andhra Pradesh,2021,4,Financial Services,243951,332740108.66
Andhra Pradesh,2021,4,Others,701856,545223415.66
Andhra Pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.48
Andhra Pradesh,2022,1,Merchant payments,242031836,169419685917.2
Andhra Pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83
Andhra Pradesh,2022,1,Financial Services,231651,324358965.12
Andhra Pradesh,2022,1,Others,627694,474382234.25
Andhra Pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.71
Andhra Pradesh,2022,2,Merchant payments,292530048,205433660654.21
Andhra Pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06
Andhra Pradesh,2022,2,Financial Services,192751,245783011.04
Andhra Pradesh,2022,2,Others,441925,357036084.91
Andhra Pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.74
Andhra Pradesh,2022,3,Merchant payments,291033653,202910820650.08
Andhra Pradesh,2022,3,Recharge & bill payments,52467708,41438764826.2
Andhra Pradesh,2022,3,Financial Services,187190,239347241.55
Andhra Pradesh,2022,3,Others,362484,323951101.57
Andhra Pradesh,2022,4,Merchant payments,321632104,211898851397.1
Andhra Pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.01
Andhra Pradesh,2022,4,Recharge & bill payments,52098850,41986837706.48
Andhra Pradesh,2022,4,Financial Services,206459,250596592.06
Andhra Pradesh,2022,4,Others,345658,339211363.0
Arunachal Pradesh,2018,1,Recharge & bill payments,28729,5184132.51
Arunachal Pradesh,2018,1,Peer-to-peer payments,13320,82889682.72
Arunachal Pradesh,2018,1,Merchant payments,1042,2420374.19
Arunachal Pradesh,2018,1,Financial Services,416,58893.76
Arunachal Pradesh,2018,1,Others,1990,1834252.82
Arunachal Pradesh,2018,2,Recharge & bill payments,50700,10468878.54
Arunachal Pradesh,2018,2,Peer-to-peer payments,26477,181576281.19
Arunachal Pradesh,2018,2,Merchant payments,2378,4718953.44
Arunachal Pradesh,2018,2,Financial Services,559,363761.8
Arunachal Pradesh,2018,2,Others,2043,1842317.37
Arunachal Pradesh,2018,3,Recharge & bill payments,74122,15997565.91
Arunachal Pradesh,2018,3,Peer-to-peer payments,49740,308106303.45
Arunachal Pradesh,2018,3,Merchant payments,4738,5505694.57
Arunachal Pradesh,2018,3,Financial Services,507,72133.85
Arunachal Pradesh,2018,3,Others,2039,2044708.97
Arunachal Pradesh,2018,4,Recharge & bill payments,97751,20662691.88
Arunachal Pradesh,2018,4,Peer-to-peer payments,68169,468831493.23
Arunachal Pradesh,2018,4,Merchant payments,7726,11998974.1
Arunachal Pradesh,2018,4,Financial Services,561,100597.9
Arunachal Pradesh,2018,4,Others,2222,2446271.97
Arunachal Pradesh,2019,1,Recharge & bill payments,121303,26796895.0
Arunachal Pradesh,2019,1,Peer-to-peer payments,93494,568554821.45
Arunachal Pradesh,2019,1,Merchant payments,9214,11727218.4
Arunachal Pradesh,2019,1,Financial Services,256,140622.87
Arunachal Pradesh,2019,1,Others,2239,2730548.6
Arunachal Pradesh,2019,2,Recharge & bill payments,131988,30420803.41
Arunachal Pradesh,2019,2,Peer-to-peer payments,106527,704237943.41
Arunachal Pradesh,2019,2,Merchant payments,16828,13955724.13
Arunachal Pradesh,2019,2,Financial Services,267,160660.88
Arunachal Pradesh,2019,2,Others,3046,3880742.52
Arunachal Pradesh,2019,3,Recharge & bill payments,216228,50946104.94
Arunachal Pradesh,2019,3,Peer-to-peer payments,133484,841037395.25
Arunachal Pradesh,2019,3,Merchant payments,16900,17178248.07
Arunachal Pradesh,2019,3,Financial Services,864,64089.11
Arunachal Pradesh,2019,3,Others,2758,3419197.42
Arunachal Pradesh,2019,4,Recharge & bill payments,259183,63516906.09
Arunachal Pradesh,2019,4,Peer-to-peer payments,177833,1100137447.93
Arunachal Pradesh,2019,4,Merchant payments,19769,23192271.69
Arunachal Pradesh,2019,4,Financial Services,314,305379.8
Arunachal Pradesh,2019,4,Others,2376,3421174.01
Arunachal Pradesh,2020,1,Recharge & bill payments,329834,86011654.77
Arunachal Pradesh,2020,1,Peer-to-peer payments,203429,1263912288.41
Arunachal Pradesh,2020,1,Merchant payments,31181,28553052.13
Arunachal Pradesh,2020,1,Financial Services,470,337812.95
Arunachal Pradesh,2020,1,Others,2261,2943873.07
Arunachal Pradesh,2020,2,Recharge & bill payments,522495,145198528.23
Arunachal Pradesh,2020,2,Peer-to-peer payments,247861,1630654426.04
Arunachal Pradesh,2020,2,Merchant payments,35169,46446966.61
Arunachal Pradesh,2020,2,Financial Services,1310,2655507.7
Arunachal Pradesh,2020,2,Others,1939,1761404.4
Arunachal Pradesh,2020,3,Recharge & bill payments,514907,153463816.21
